               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061991,            0.071682,              0.0156,             0.68033,             0.28192,             0.29726,             0.15784,            0.045673,            0.070685,            0.008507,            0.070007,           0.0033326,           0.0033326
                   1,            0.050178,            0.069233,           0.0086361,             0.67339,             0.36263,             0.39107,             0.21038,            0.042247,            0.068267,           0.0067928,            0.039875,           0.0065339,           0.0065339
                   2,            0.047173,            0.068238,           0.0076834,               0.695,             0.37949,             0.41583,             0.22455,             0.04128,            0.067542,           0.0061479,           0.0096109,           0.0096033,           0.0096033
                   3,            0.044984,            0.067386,            0.007186,             0.70344,             0.40318,             0.43665,             0.24053,            0.040208,            0.066046,            0.005573,            0.009406,            0.009406,            0.009406
                   4,            0.043572,            0.066458,           0.0067629,             0.72971,             0.40386,             0.45011,              0.2489,            0.039607,            0.065388,           0.0052711,            0.009406,            0.009406,            0.009406
                   5,             0.04288,            0.065717,            0.006534,             0.73014,             0.41519,             0.46042,             0.25614,             0.03921,            0.064867,           0.0050633,            0.009208,            0.009208,            0.009208
                   6,            0.042368,            0.065457,           0.0063622,             0.73329,             0.42626,             0.46668,             0.26074,            0.038877,            0.064449,           0.0049422,             0.00901,             0.00901,             0.00901
                   7,            0.042044,            0.064872,           0.0062568,             0.73641,             0.42679,             0.47173,             0.26475,            0.038636,            0.064143,           0.0048344,            0.008812,            0.008812,            0.008812
                   8,            0.041804,            0.064799,           0.0061426,             0.73827,             0.42907,             0.47335,             0.26672,            0.038475,            0.063917,           0.0047771,            0.008614,            0.008614,            0.008614
                   9,            0.041525,            0.064442,           0.0060397,             0.73609,             0.43236,             0.47734,             0.27007,            0.038346,            0.063778,           0.0047056,            0.008416,            0.008416,            0.008416
                  10,            0.041388,            0.064397,           0.0060011,             0.74766,             0.42861,             0.48051,             0.27182,            0.038229,            0.063623,           0.0046516,            0.008218,            0.008218,            0.008218
                  11,            0.041237,            0.064051,           0.0059494,             0.74358,             0.43133,             0.48143,             0.27265,             0.03814,            0.063519,           0.0046223,             0.00802,             0.00802,             0.00802
                  12,            0.041123,             0.06387,           0.0058988,             0.74387,             0.43251,             0.48297,             0.27354,            0.038066,            0.063427,           0.0046007,            0.007822,            0.007822,            0.007822
                  13,            0.040921,            0.063925,           0.0058326,             0.75041,             0.43392,             0.48459,             0.27431,            0.038008,             0.06335,           0.0045816,            0.007624,            0.007624,            0.007624
